37
ENSMUST00000082387	0	67	67	1	1	0	0
ENSMUST00000082388	69	1023	67	1	1	1	1
ENSMUST00000082389	1024	1092	1023	1	1	2	2
ENSMUST00000082390	1093	2674	1092	1	1	3	3
ENSMUST00000082391	2675	2749	2674	1	1	4	4
ENSMUST00000082392	2750	3706	2749	1	1	5	5
ENSMUST00000082393	3705	3773	3706	1	1	6	6
ENSMUST00000082394	3771	3841	3773	2	1	7	7
ENSMUST00000082395	3844	3912	3841	1	1	8	8
ENSMUST00000082396	3913	4950	3912	1	1	9	9
ENSMUST00000082397	4949	5015	4950	1	1	10	10
ENSMUST00000082398	5017	5085	5015	2	1	11	11
ENSMUST00000082399	5088	5158	5085	2	1	12	12
ENSMUST00000082400	5191	5256	5158	2	1	13	13
ENSMUST00000082401	5259	5325	5256	2	1	14	14
ENSMUST00000082402	5327	6871	5325	1	1	15	15
ENSMUST00000082403	6869	6937	6871	2	1	16	16
ENSMUST00000082404	6941	7010	6937	1	1	17	17
ENSMUST00000082405	7012	7695	7010	1	1	18	18
ENSMUST00000082406	7699	7763	7695	1	1	19	19
ENSMUST00000082407	7765	7968	7763	1	1	20	20
ENSMUST00000082408	7926	8606	7968	1	1	21	21
ENSMUST00000082409	8606	9389	8606	1	1	22	22
ENSMUST00000082410	9390	9457	9389	1	1	23	23
ENSMUST00000082411	9458	9805	9457	1	1	24	24
ENSMUST00000082412	9807	9874	9805	1	1	25	25
ENSMUST00000084013	9876	10172	9874	1	1	26	26
ENSMUST00000082414	10166	11543	10172	1	1	27	27
ENSMUST00000082415	11545	11611	11543	1	1	28	28
ENSMUST00000082416	11612	11670	11611	1	1	29	29
ENSMUST00000082417	11670	11740	11670	1	1	30	30
ENSMUST00000082418	11741	13564	11740	1	1	31	31
ENSMUST00000082419	13551	14069	13564	2	1	32	32
ENSMUST00000082420	14070	14138	14069	2	1	33	33
ENSMUST00000082421	14144	15287	14138	1	1	34	34
ENSMUST00000082422	15288	15354	15287	1	1	35	35
ENSMUST00000082423	15355	15421	15354	2	1	36	36
